song,artist,rank,lyrics
The Fate of Ophelia,Taylor Swift,167.951,"I heard you calling on the megaphone You wanna see me all alone As legend has it, you are quite the pyro You light the match to watch it blow And if you'd never come for me I might've drowned in the melancholy I swore my loyalty to me (me), myself (myself) and I (I) Right before you lit my sky up (All that time) I sat alone in my tower You were just honing your powers Now I can see it all (see it all) (Late one night) you dug me out of my grave and Saved my heart from the fate of Ophelia (Ophelia) Keep it one hundred on the land (land), the sea (sea), the sky Pledge allegiance to your hands, your team, your vibes Don't care where the hell you been (been) 'cause now (now) you're mine It's 'bout to be sleepless night you've been dreaming of The fate of Ophelia The eldest daughter of a nobleman Ophelia lived in fantasy But love was a cold bed full of scorpions The venom stole her sanity (yeah) And if you'd never come for me (come for me) I might've lingered in purgatory You wrap around me like a chain (chain), a crown (crown), a vine (vine) Pulling me into the fire (All that time) I sat alone in my tower You were just honing your powers Now I can see it all (see it all) (Late one night) you dug me out of my grave and Saved my heart from the fate of Ophelia (Ophelia) Keep it one hundred on the land (land), the sea (sea), the sky Pledge allegiance to your hands, your team, your vibes Don't care where the hell you been (been) 'cause now (now) you're mine It's 'bout to be sleepless night you've been dreaming of The fate of Ophelia 'Tis locked inside my memory and only you possess the key No longer drowning and deceived All because you came for me Locked inside my memory and only you possess the key No longer drowning and deceived All because you came for me (All that time) I sat alone in my tower You were just honing your powers Now I can see it all (see it all) (Late one night) you dug me out of my grave and Saved my heart from the fate of Ophelia (Ophelia) Keep it one hundred on the land (land), the sea (sea) (the sea), the sky Pledge allegiance to your hands (your hands), your team, your vibes Don't care where the hell you been (been) (you've been) 'cause now (now) ('cause now) you're mine It's 'bout to be sleepless night you've been dreaming of The fate of Ophelia You saved my heart from the fate of Ophelia "
Wood,Taylor Swift,131.779,"Daisy's bare naked, I was distraught He loves me not, he loves me not Penny's unlucky, I took him back And then stepped on a crack And the black cat laughed And baby, I'll admit I've been a little superstitious (superstitious) Fingers crossed until you put your hand on mine (ah) Seems to be that you and me, we make our own luck A bad sign is all good I ain't got to knock on wood All of that bitchin', wishing on a falling star Never did me any good I ain't got to knock on wood It's you and me forever dancing in the dark (All) over me, it's understood I ain't got to knock on wood Forgive me, it sounds cocky He ah-matized me and opened my eyes Redwood tree, it ain't hard to see His love was the key that opened my thighs Girls, I don't need to catch the bouquet, mm To know a hard rock is on the way And baby, I'll admit I've been a little superstitious (superstitious) The curse on me was broken by your magic wand (ah) Seems to me that you and me, we make our own luck New Heights (New Heights) of manhood (manhood) I ain't gotta knock on wood All of that bitchin', wishing on a falling star Never did me any good I ain't got to knock on wood It's you and me forever dancing in the dark (All) over me, it's understood I ain't got to knock on wood Forgive me, it sounds cocky He ah-matized me and opened my eyes Redwood tree, it ain't hard to see His love was the key that opened my thighs Forgive me, it sounds cocky He ah-matized me and opened my eyes Redwood tree, it ain't hard to see His love was the key that opened my thighs "
Eldest Daughter,Taylor Swift,125.969,"Everybody's so punk on the internet Everyone's unbothered till they're not Every joke's just trolling and memes Sad as it seems, apathy is hot Everybody's cutthroat in the comments Every single hot take is cold as ice When you found me, I said I was busy That was a lie I have been afflicted by a terminal uniqueness I've been dying just from trying to seem cool But I'm not a bad bitch And this isn't savage But I'm never gonna let you down I'm never gonna leave you out So many traitors Smooth operators But I'm never gonna break that vow I'm never gonna leave you Now, now, now You know, the last time I laughed this hard was On the trampoline in somebody's backyard I must've been about eight or nine That was the night I fell off and broke my arm Pretty soon I learned cautious discretion When your first crush crushes something kind When I said I don't believe in marriage That was a lie Every eldest daughter was the first lamb to the slaughter So we all dressed up as wolves and we looked fire But I'm not a bad bitch And this isn't savage But I'm never gonna let you down I'm never gonna leave you out So many traitors Smooth operators But I'm never gonna break that vow I'm never gonna leave you Now, now, now We lie back A beautiful, beautiful time-lapse Ferris wheels, kisses and lilacs And things I said were dumb 'Cause I thought that I'd never find that Beautiful, beautiful life that Shimmers that innocent light back Like when we were young Every youngest child felt they were raised up in the wild But now you're home 'Cause I'm not a bad bitch And this isn't savage And I'm never gonna let you down I'm never gonna leave you out So many traitors Smooth operators But I'm never gonna break that vow (never gonna break that vow) I'm never gonna leave you Now, now, now (Never gonna break that vow) mm-mm (Never gonna leave you) Now, now I'm never gonna leave you now "
Ordinary,Alex Warren,3.177.497,"They say the holy water's watered down And this town's lost its faith Our colors will fade eventually So if our time is running out day after day We'll make the mundane our masterpiece Oh my, my Oh my, my love I take one look at you You're taking me out of the ordinary I want you laying me down Till we're dead and buried On the edge of your knife Staying drunk on your vine The angels up in the clouds Are jealous knowing we found Something so out of the ordinary You got me kissing the ground of your sanctuary Shatter me with your touch Oh, Lord, return me to dust The angels up in the clouds Are jealous knowing we found Hopeless hallelujah Oh, this side of Heaven's gate Oh, my life, how do ya Breathe and take my breath away? At your altar, I will pray You're the sculptor, I'm the clay Oh my, my You're taking me out of the ordinary I want you laying me down Till we're dead and buried On the edge of your knife Staying drunk on your vine The angels up in the clouds Are jealous knowing we found Something so out (out) of the ordinary (ordinary) You got me kissing the ground (ground) of your sanctuary (sanctuary) Shatter me with your touch Oh, Lord, return me to dust The angels up in the clouds Are jealous knowing we found Something so heavenly, higher than ecstasy Whenever you're next to me, oh my, my World was in black and white until I saw your light I thought you had to die to find Something so out of the ordinary I want you laying me down Till we're dead and buried On the edge of your knife Staying drunk on your vine The angels up in the clouds Are jealous knowing we found Something so out (out) of the ordinary You got me kissing the ground (ground) of your sanctuary (sanctuary) Shatter me with your touch Oh, Lord, return me to dust The angels up in the clouds Are jealous knowing we found "
Opalite,Taylor Swift,133.326,"I had a bad habit Of missing lovers past My brother used to call it Eating out of the trash It's never gonna last I thought my house was haunted I used to live with ghosts And all the perfect couples Said: When you know, you know And: When you don't, you don't And all of the foes and all of the friends (ha-ha) Have seen it before, they'll see it again (ha-ha) Life is a song, it ends when it ends I was wrong But my mama told me it's alright You were dancing through the lightning strikes Sleepless in the onyx night But now the sky is opalite Oh-oh, oh, oh, oh, oh my Lord Never made no one like you before You had to make your own sunshine But now the sky is opalite Oh-oh, oh, oh, oh You couldn't understand it Why you felt alone You were in it for real She was in her phone And you were just a pose And don't we try to love love? (Love love) We give it all we got (give it all we got) You finally left the table (uh-uh) And what a simple thought You're starving till you're not And all of the foes and all of the friends (ha-ha) Have messed up before, they'll mess up again (ha-ha) Life is a song, it ends when it ends You move on And that's when I told you it's alright You were dancing through the lightning strikes Sleepless in the onyx night But now the sky is opalite Oh-oh, oh, oh, oh my Lord Never met no one like you before You had to make your own sunshine But now the sky is opalite Oh-oh, oh, oh, oh This is just a storm inside a teacup But shelter here with me, my love Thunder like a drum This life will beat you up, up, up, up This is just a temporary speed bump But failure brings you freedom And I can bring you love (love), love (love), love Don't you sweat it, baby It's alright You were dancing through the lightning strikes Sleepless in the onyx night But now the sky is opalite Oh-oh, oh, oh, oh my Lord Never met no one like you before You had to make your own sunshine But now the sky is opalite Oh-oh, oh, oh, oh "
Actually Romantic,Taylor Swift,100.546,"I heard you call me boring Barbie when the coke's got you brave High-fived my ex and then you said you're glad he ghosted me Wrote me a song saying it makes you sick to see my face Some people might be offended But it's actually sweet All the time you've spent on me It's honestly wild All the effort you've put in It's actually romantic I really got to hand it to you No man has ever loved me like you do Hadn't thought of you in a long time But you keep sending me funny valentines And I know you think it comes off vicious But it's precious, adorable Like a toy chihuahua barking at me from a tiny purse That's how much it hurts How many times has your boyfriend said: Why are we always talking about her? It's actually sweet All the time you've spent on me It's honestly wild All the effort you've put in It's actually romantic I really got to hand it to you No man has ever loved me like you do You think I'm tacky, baby Stop talking dirty to me It sounded nasty but it feels like you're flirting with me I mind my business, God's my witness that I don't provoke it It's kind of making me wet 'Cause it's actually sweet All the time you've spent on me It's honestly lovely All the effort you've put in It's actually romantic I really got to hand it to you, to you No man has ever loved me like you do It's actually romantic You've just given me so much attention It's actually romantic It's so romantic "
Wi$h Li$t,Taylor Swift,104.340,"They want that yacht life, under chopper blades They want those bright lights and Balenci' shades And a fat ass with a baby face They want it all They want that complex female character They want that critical smash Palme d'Or And an Oscar on their bathroom floor They want it all And they should have what they want They deserve what they want Hope they get what they want I just want you, ooh Have a couple kids, got the whole block looking like you We tell the world to leave us the fuck alone, and they do Wow, got me dreaming 'bout a driveway with a basketball hoop Boss up, settle down Got a wish (wish) list (list), I just want you They want that freedom, living off the grid They want those three dogs that they call their kids And that good surf, no hypocrites They want it all They want a contract with Real Madrid They want that spring break that was fucking lit And then that video taken off the internet They want it all And they should have what they want They deserve what they want I hope they get what they want I just want you (you), ooh (yeah) Have a couple kids, got the whole block looking like you We tell the world to leave us the fuck alone, and they do (ooh) Wow, got me dreaming 'bout a driveway with a basketball hoop Boss up, settle down Got a wish (wish) list (list) I made wishes on all of the stars Please, God, bring me a best friend who I think is hot I thought I had it right once, twice (twice), but I did not You caught me off my guard I hope I get what I want (get what) 'Cause I know what I want I just want you (baby) Have a couple kids, got the whole block looking like (got 'em looking like you) you We tell the world to leave us the fuck alone, and they do Wow, got me dreaming 'bout a driveway with a basketball hoop Boss up, settle down Got a wish (wish) list (list) I just want you, ooh (I want you) Have a couple kids, got the whole block looking like (you) you We tell the world to leave us the fuck alone, and they do (yeah) Wow, (and now you) got me dreaming 'bout a driveway with a basketball hoop Boss up, settle down Got a wish (wish) list (list), I just want you "
Ruin The Friendship,Taylor Swift,99.536,"Glistening grass from September rain Grey overpass full of neon names You drive, mm-mm Eighty-five, mm-mm Gallatin Road and the lakeside beach Watching the game from your brother's Jeep Your smile, mm-mm Miles wide And it was not an invitation Should've kissed you anyway Should've kissed you anyway And it was not convenient, no But your girlfriend was away Should've kissed you anyway, hey Shiny wood floors underneath my feet Disco ball makes everything look cheap Have fun, mm-mm It's prom, mm-mm Witted corsage dangles from my wrist Over his shoulder, I catch a glimpse And see, mm-mm You looking at me And it was not an invitation But as the 50 Cent song played (song played) Should've kissed you anyway (anyway) And it was not (it was not) convenient (convenient), no Would've been the best mistake Should've kissed you anyway, ayy Don't make it awkward in second period Might piss your ex off Lately we've been good Staying friends is safe Doesn't mean you should Don't make it awkward in second period Might piss your ex off Lately we've been good Staying friends is safe Doesn't mean you should When I left school, I lost track of you Abigail called me with the bad news Goodbye And we'll never know why It was not an invitation But I flew home anyway With so much left to say It was not convenient, no But I whispered at the grave Should've kissed you anyway, ooh And it was not (it was not) an invitation (invitation), oh Should've kissed you anyway (anyway) Should've kissed you anyway (anyway), anyway And it was not My advice is always: Ruin the friendship Better that than regret it for all time Should've kissed you anyway And my advice is: Always answer the question Better that than to ask it all your life Should've kissed you anyway Should've kissed you anyway "
Father Figure,Taylor Swift,93.501,"When I found you, you were young Wayward, lost in the cold Pulled up to you in the Jag' Turned your rags into gold The winding road leads to the château You remind me of a younger me I saw potential I'll be your father figure, I drink that brown liquor I can make deals with the devil because my dick's bigger This love is pure profit, just step into my office I dry your tears with my sleeve Leave it with me I protect the family Leave it with me I protect the family I pay the check before it kisses the mahogany grain Said: They want to see you rise, they don't want you to reign I showed you all the tricks of the trade All I ask for is your loyalty My dear protégé I'll be your father figure, I drink that brown liquor I can make deals with the devil because my dick's bigger This love is pure profit, just step into my office They'll know your name in the streets Leave it with me I protect the family (Ooh) I saw a change in you (saw a change, saw a change, yeah) My dear boy, they don't make loyalty like they used to (la-la, like they used to) Your thoughtless ambition sparked the ignition on foolish decisions Which led to misguided visions That to fulfill your dreams You had to get rid of me I protect the family I was your father figure, we drank that brown liquor You made a deal with this devil, turns out my dick's bigger You want a fight, you found it, I got the place surrounded You'll be sleeping with the fishes Before you know, you're drowning Whose portrait's on the mantle? Who covered up your scandals? Mistake my kindness for weakness and find your card cancelled I was your father figure, you pulled the wrong trigger This empire belongs to me Leave it with me I protect the family Leave it with me I protect the family Leave it with me You know You remind me of a younger me I saw potential "
The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,65.975,"Her name was Kitty Made her money being pretty and witty They gave her the keys to this city Then they said she didn't do it legitly, uh I bought a ticket She's dancing in her garters and fishnets Fifty in the cast, zero missteps Looking back, I guess I was kismet I waited by the stage door Packed in with the autograph hounds Barking her name, then glowing like the end of a cigarette Wow, she came out, I said: You're living my dream! Then she said to me Hey, thank you for the lovely bouquet You're sweeter than a peach But you don't know the life of a showgirl, babe And you're never, ever gonna Wait, the more you play, the more that you pay You're softer than a kitten, so You don't know the life of a showgirl, babe And you're never gonna wanna She was a menace The baby of the family in Lenox Her father whored around like all men did Her mother took pills and played tennis So she waited by the stage door as the club promoter arrived She said: I'd sell my soul to have a taste of a magnificent life that's all mine But that's not what showgirls get They leave us for dead Hey, thank you for the lovely bouquet You're sweeter than a peach But you don't know the life of a showgirl, babe And you're never, ever gonna Wait, the more you play, the more that you pay You're softer than a kitten, so You don't know the life of a showgirl, babe And you're never gonna wanna I took her pearls of wisdom, hung them from my neck I paid my dues with every bruise, I knew what to expect You wanna take a skate on the ice inside my veins? They ripped me off like false lashes and then threw me away And all the headshots on the walls of the dance hall are of the bitches Who wish I'd hurry up and die But I'm immortal now, baby dolls I couldn't if I tried So I say: Thank you for the lovely bouquet I'm married to the hustle And now I know the life of a showgirl, babe And I'll never know another Pain hidden by the lipstick and lace (lipstick and lace) Sequins are forever, and now I know the life of a showgirl, babe Wouldn't have it any other way (Thank you for the lovely bouquet) Wouldn't have it any other way (Thank you for the lovely bouquet) Hey, Kitty (thank you for the lovely bouquet) Now I make my money being pretty and witty Thank you for the lovely bouquet Thank you for an unforgettable night! We will see you next time Give it up for the band And the dancers And of course, Sabrina I love you, Taylor! That's our show, we love you so much Goodnight! "
